Date,Open,High,Low,Close,Volume,Adjusted Close
2013-03-12,65.06,65.06,65.06,65.06,100.0,59.25
2013-03-11,65.25,65.44,65.25,65.44,500.0,59.6
2013-03-08,65.19,65.22,65.19,65.2,900.0,59.38
2013-03-07,64.8,64.8,64.8,64.8,0.0,59.01
2013-03-06,64.75,64.8,64.75,64.8,1100.0,59.01
2013-03-05,64.8,64.8,64.79,64.8,2900.0,59.01
2013-03-04,64.46,64.46,64.46,64.46,100.0,58.7
2013-03-01,64.32,64.46,64.21,64.46,1200.0,58.7
2013-02-28,64.8,64.8,64.8,64.8,1700.0,59.01
2013-02-27,64.79,64.8,64.79,64.8,200.0,59.01
2013-02-26,64.79,64.79,64.79,64.79,300.0,59.0
2013-02-25,64.79,64.8,64.79,64.8,500.0,59.01
2013-02-22,64.8,64.8,64.8,64.8,0.0,59.01
2013-02-21,64.8,64.8,64.8,64.8,0.0,59.01
2013-02-20,64.8,64.8,64.8,64.8,1600.0,59.01
2013-02-19,65.51,65.51,64.81,64.81,3500.0,59.02
2013-02-15,65.51,65.51,65.51,65.51,500.0,59.66
2013-02-14,66.0,66.0,65.36,65.36,1000.0,59.52
2013-02-13,66.0,66.0,66.0,66.0,400.0,60.11
2013-02-12,65.72,65.72,65.72,65.72,100.0,59.85
2013-02-11,65.26,65.26,65.26,65.26,300.0,59.43
2013-02-08,65.25,65.25,65.25,65.25,0.0,59.42
2013-02-07,65.0,65.25,65.0,65.25,1000.0,59.42
2013-02-06,64.46,65.03,64.46,65.02,700.0,59.21
2013-02-05,64.25,65.62,64.25,65.62,500.0,59.76
2013-02-04,64.36,64.36,64.36,64.36,0.0,58.61
2013-02-01,64.0,64.41,64.0,64.36,800.0,58.61
2013-01-31,63.24,63.25,63.24,63.25,800.0,57.6
2013-01-30,63.26,63.26,63.26,63.26,0.0,57.61
2013-01-29,63.3,63.3,63.26,63.26,2900.0,57.61
2013-01-28,64.39,64.39,64.39,64.39,200.0,58.64
2013-01-25,62.57,62.57,62.57,62.57,200.0,56.98
2013-01-24,62.1,62.1,62.1,62.1,0.0,56.55
2013-01-23,61.99,62.1,61.99,62.1,1200.0,56.55
2013-01-22,60.77,60.77,60.77,60.77,0.0,55.34
2013-01-21,60.77,60.77,60.77,60.77,0.0,55.34
2013-01-18,60.77,60.77,60.77,60.77,200.0,55.34
2013-01-17,61.0,61.0,61.0,61.0,0.0,55.55
2013-01-16,61.36,61.36,61.0,61.0,1200.0,55.55
2013-01-15,60.99,61.0,60.99,61.0,2800.0,55.55
2013-01-14,61.44,61.44,60.59,60.59,200.0,55.18
2013-01-11,60.39,60.4,60.39,60.4,400.0,55.01
2013-01-10,59.0,59.0,59.0,59.0,0.0,53.73
2013-01-09,59.0,59.0,59.0,59.0,400.0,53.73
2013-01-08,59.78,59.78,59.78,59.78,100.0,54.44
2013-01-07,59.77,59.78,59.77,59.78,300.0,54.44
2013-01-04,58.0,58.44,58.0,58.44,500.0,53.22
2013-01-03,57.49,57.49,57.49,57.49,0.0,52.36
2013-01-02,57.49,57.49,57.49,57.49,1600.0,52.36
2012-12-31,57.49,57.49,57.49,57.49,0.0,52.36
2012-12-28,57.49,57.49,57.49,57.49,300.0,52.36
2012-12-27,57.48,57.48,57.48,57.48,100.0,52.35
2012-12-24,57.03,57.03,57.03,57.03,0.0,51.94
2012-12-21,57.03,57.03,57.03,57.03,1900.0,51.94
2012-12-20,56.5,57.0,56.3,56.99,3700.0,51.9
2012-12-19,55.75,55.75,55.75,55.75,300.0,50.77
2012-12-18,55.62,56.15,55.5,55.75,7500.0,50.77
2012-12-17,55.61,55.62,55.61,55.62,1200.0,50.65
2012-12-14,55.6,55.6,55.6,55.6,0.0,50.64
2012-12-13,55.7,55.7,55.5,55.6,1700.0,50.64
2012-12-12,55.65,55.65,55.65,55.65,200.0,50.68
2012-12-11,55.82,55.82,55.82,55.82,0.0,50.7
2012-12-10,55.82,55.82,55.82,55.82,0.0,50.7
2012-12-07,55.82,55.82,55.82,55.82,0.0,50.7
2012-12-06,55.76,55.82,55.76,55.82,500.0,50.7
2012-12-05,55.26,55.26,55.26,55.26,0.0,50.19
2012-12-04,55.26,55.26,55.26,55.26,0.0,50.19
2012-12-03,55.26,55.26,55.26,55.26,0.0,50.19
2012-11-30,55.26,55.26,55.26,55.26,0.0,50.19
2012-11-29,56.0,56.0,55.26,55.26,200.0,50.19
2012-11-28,55.99,55.99,55.99,55.99,200.0,50.85
2012-11-27,55.0,55.0,55.0,55.0,0.0,49.95
2012-11-26,55.0,55.0,55.0,55.0,300.0,49.95
2012-11-23,55.0,55.0,55.0,55.0,0.0,49.95
2012-11-22,55.0,55.0,55.0,55.0,0.0,49.95
2012-11-21,55.0,55.0,55.0,55.0,1800.0,49.95
2012-11-20,54.98,54.98,54.98,54.98,0.0,49.94
2012-11-19,54.98,54.98,54.98,54.98,0.0,49.94
2012-11-16,54.98,54.98,54.98,54.98,0.0,49.94
2012-11-15,55.25,55.62,54.98,54.98,1300.0,49.94
2012-11-14,55.01,55.25,55.0,55.25,700.0,50.18
2012-11-13,55.23,55.58,55.23,55.58,1000.0,50.48
2012-11-12,54.21,55.0,54.21,55.0,4800.0,49.95
2012-11-09,53.16,53.86,53.16,53.86,300.0,48.92
2012-11-08,54.21,54.21,54.21,54.21,0.0,49.24
2012-11-07,54.21,54.21,54.21,54.21,0.0,49.24
